cod interno do cliente,Descrição,codigo fornecedores,Detalhe,Aplicação,Diam.Copinho,Diam.Rolamento,Face a Face Cruzeta
124.10.STH,CRUZETA DO CARDAN MANCALIZADA,CZ125,N° ORIGINAL CATERPILLAR/MEDIDA Ө  4 MANCAIS/ENTRE FUROS 33.3mm,Caterpillar / Muller / Clark,-,,79.20mm
127464.0,CRUZETA F11000/22000/MB 710/912,127464.0,COM GRAXEIRO,,,,
130.10..RCB,CRUZETA DO CARDAN,130.RCB,SEM GRAXEIRO,OPALA/CHEVETE,27.00mm,,61.90mm
130.10.AEM,CRUZETA DO CARDAN,CC37,COM GRAXEIRO NO CENTRO,LAVRALE,27.00mm,,61.90mm
130.10.ALB,CRUZETA DO CARDAN,ALB5.310,SEM GRAXEIRO,OPALA/CHEVETE/VENTILADOR VOLVO,27.00mm,,61.90mm
130.10.AMX,CRUZETA DO CARDAN,CT5310,SEM GRAXEIRO,OPALA/CHEVETE/VENTILADOR VOLVO,27.00mm,,61.90mm
130.10.CC,CRUZETA DO CARDAN,2908,SEM GRAXEIRO,OPALA/CHEVETE,27.00mm,,61.90mm
130.10.MRT,CRUZETA DO CARDAN,801008,SEM GRAXEIRO,OPALA/CHEVETE,27.00mm,,61.90mm
130.10.NK,CRUZETA DO CARDAN,NUJ310,SEM GRAXEIRO,OPALA/CHEVETE,27.00mm,,61.90mm
130.10.RCB,CRUZETA DO CARDAN,130.RCB,SEM GRAXEIRO,OPALA/CHEVETE,27.00mm,,61.90mm
130.10.SPI,CRUZETA DO CARDAN,5.310X,SEM GRAXEIRO,OPALA/CHEVETE/VENTILADOR VOLVO,27.00mm,,61.90mm
130.10.STH,CRUZETA DO CARDAN,CZ120,SEM GRAXEIRO,OPALA/CHEVETE,27.00mm,,61.90mm
130.1000/1PS.AEM,CARDAN COMPLETO C/ PROTECAO SIMPLES,CC1000/1PS,,LAVRALE,27.00mm,,61.90mm
130.11..RCB,GARFO DO CARDAN,RCB(2.28.827),BASE DE SOLDA Ө 47.80mm,OPALA/CHEVETE/VENTILADOR VOLVO,27.00mm,,61.90mm
130.11.LN,GARFO DO CARDAN,101054,BASE DE SOLDA Ө 47.80mm,OPALA/CHEVETE,27.00mm,,61.90mm
130.11.NK,GARFO DO CARDAN,NC06028,BASE DE SOLDA Ө 47.80mm,OPALA/CHEVETE/VENTILADOR VOLVO,27.00mm,,61.90mm
130.11.RAP,GARFO DO CARDAN,S141,BASE DE SOLDA Ө 47.80mm,OPALA/PULV.JACTO/VENTI.VOLVO,27.00mm,,61.90mm
130.11.RCB,GARFO DO CARDAN,RCB(2.28.827),BASE DE SOLDA Ө 47.80mm,OPALA/CHEVETE/VENTILADOR VOLVO,27.00mm,,61.90mm
130.11.SC,GARFO DO CARDAN,SG53,BASE DE SOLDA Ө 46.30mm,OPALA 6/4 CIL,27.00mm,,61.90mm
130.11.SPI,GARFO DO CARDAN,2.28.827,BASE DE SOLDA Ө 47.80mm,OPALA/CHEVETE/VENTILADOR VOLVO,27.00mm,,61.90mm
130.11A.SC,GARFO DO CARDAN,SG02,BASE DE SOLDA Ө 66.90mm,OPALA 6 CILINDROS,27.00mm,,61.90mm
130.12..RCB,LUVA DO CARDAN,130.RCB,APLICA AO CAMBIO,OPALA/CHEVETE,27.00mm,,61.90mm
130.12.LN,LUVA DO CARDAN,301101,RETENTOR APLICA PONTA PESCOCO,OPALA/CHEVETE,27.00mm,,61.90mm
130.12.RAP,LUVA DO CARDAN,S109,RETENTOR APLICA PONTA PESCOCO,OPALA/CHEVETE,27.00mm,,61.90mm
130.12.RCB,LUVA DO CARDAN,130.RCB,APLICA AO CAMBIO,OPALA/CHEVETE,27.00mm,,61.90mm
130.12.SPI,LUVA DO CARDAN,2.3.9791KX,RETENTOR APLICA PONTA PESCOCO,OPALA/CHEVETE,27.00mm,,61.90mm
130.12.STH,LUVA USINADA,RLV187,10 ESTRIAS MONTA COM CZ 120,FIAT ALLIS,27.00mm,,61.90mm
130.12A.NK,LUVA DO CARDAN,NC08032,APLICA AO CAMBIO,OPALA/CHEVETE,27.00mm,,61.90mm
130.12A.SPI,LUVA DO CARDAN,03.448X,APLICA AO CAMBIO,OPALA/CHEVETE,27.00mm,,61.90mm
130.12A.STH,LUVA USINADA,RLV195,14 ESTRIAS MONTA COM CZ 120,LINHA INDUSTRIAL,27.00mm,,61.90mm
130.12B.NK,LUVA DO CARDAN,NC08029,APLICA AO CAMBIO,OPALA/CHEVETE,27.00mm,,61.90mm
130.12B.RCB,LUVA DO CARDAN,RCB130.12B,APLICA AO CAMBIO,OPALA/CHEVETE,27.00mm,,61.90mm
130.12B.SPI,LUVA DO CARDAN,03.346X,APLICA AO CAMBIO,OPALA/CHEVETE,27.00mm,,61.90mm
130.12C.SPI,LUVA DO CARDAN,03.414X,,EMPI HYSTER H110/130/150,27.00mm,,61.90mm
130.12D.SPI,LUVA DO CARDAN,4.376,APLICA AO CARDAN,HYSTER H110/130/150,27.00mm,,61.90mm
130.12E.SPI,LUVA DO CARDAN,3.361,APLICA AO CARDAN,FIAT ALLIS,27.00mm,,61.90mm
130.13..RCB,KIT LUVA PONTEIRA,130.RCB,LUVA S109 COM PONTEIRA S110,OPALA/CHEVETE,27.00mm,,61.90mm
130.13.RAP,KIT LUVA PONTEIRA,S119,LUVA S109 COM PONTEIRA S110,OPALA/CHEVETE,27.00mm,,61.90mm
130.13.RCB,KIT LUVA PONTEIRA,130.RCB,LUVA S109 COM PONTEIRA S110,OPALA/CHEVETE,27.00mm,,61.90mm
130.14.RAP,PONTEIRA DESLIZANTE,S110,27 ESTRIAS/ PESCOCO/BASE DE SOLDA Ө 47.80mm,OPALA/CHEVETE,,,
130.14.RCB,PONTEIRA DESLIZANTE,130.RCB,27 ESTRIAS/ PESCOCO/BASE DE SOLDA Ө 47.80mm,OPALA/CHEVETE,,,
130.14.SPI,PONTEIRA DESLIZANTE,2.40.2271,27 ESTRIAS/PESCOCO/BASE DE SOLDA Ө 47.80mm,OPALA/CHEVETE,,,
130.16.IN,FLANGE DE ORELHA,2013.N,4 FUROS Ө 8.00mm/MACHO PILOTO Ө 57.00mm,OPALA/CHEVETE/VENTILADOR VOLVO,27.00mm,,61.90mm
130.16.RAP,FLANGE DE ORELHA,S129,4 FUROS Ө 8.00mm'/MACHO PILOTO Ө 57.00mm,OPALA/PULVERIZADOR JACTO,27.00mm,,61.90mm
130.16.RCB,FLANGE DE ORELHA,130.RCB,4 FUROS Ө 8.00mm/MACHO PILOTO Ө 57.00mm,OPALA/CHEVETE/VENTILADOR VOLVO,27.00mm,,61.90mm
130.16.SC,FLANGE DE ORELHA,SF35,4 FUROS Ө 8.00mm/MACHO PILOTO Ө 57.00mm,OPALA/CHEVETE/VENTILADOR VOLVO,27.00mm,,61.90mm
130.16.SPI,FLANGE DE ORELHA,2.2.879,4 FUROS Ө 8.00mm/MACHO PILOTO Ө 57.00mm,OPALA/CHEVETE/VENTILADOR VOLVO,27.00mm,,61.90mm
130.16.STH,FLANGE DE ORELHA,RFL615,4 FUROS Ө 8.00mm/MACHO PILOTO Ө 57.00mm,OPALA/CHEVETE PULV.JACTO,27.00mm,,61.90mm
130.16A..RCB,FLANGE DE ORELHA,RCB(02.273),4 FUROS Ө 8.00mm/FEMEA PILOTO Ө 57.00mm,OPALA/BOMBA HIDRAULICA,27.00mm,,61.90mm
130.16A.RCB,FLANGE DE ORELHA,RCB(02.273),4 FUROS Ө 8.00mm/FEMEA PILOTO Ө 57.00mm,OPALA/BOMBA HIDRAULICA,27.00mm,,61.90mm
130.16A.SPI,FLANGE DE ORELHA,2.273,4 FUROS Ө 8.00mm/FEMEA PILOTO Ө 57.00mm,OPALA/BOMBA HIDRAULICA,27.00mm,,61.90mm
130.16B.SPI,FLANGE DE ORELHA,2.273,4 FUROS Ө 8.00mm/MACHO PILOTO Ө 57.00mm,OPALA/CHEVETE/VENTILADOR VOLVO,27.00mm,,61.90mm
130.18.TB,TUBO DO CARDAN 70.00x2.00,001216 CT,(70.00X2.00mm)Ө EXT=70.00mm/Ө INT=66.00mm/ESPESSURA=2.00mm,OPALA/CHEVETE/CARAVAN,,,
130.18B.TB,"TUBO DO CARDAN 57,15X4,75",00108 CT,"(57.15X4.75mm)Ө EXT=57.15mm/Ө INT=47.65mm/ESPESSURA=4,75mm",ANEL DE SOLDA,,,
130.18C.TB,TUBO DO CARDAN 50.80x3.75,00896 CT,(50.80X3.75mm)Ө EXT=50.80mm/Ө INT=43.30mm/ESPESSURA=3.75mm,ANEL DE SOLDA,,,
130.18D.TB,TUBO DO CARDAN 38.10x3.00,00538 CT,(38.10X3.00mm)Ө EXT=38.10mm/Ө INT=32.10mm/ESPESSURA=3.00mm,ANEL DE SOLDA,,,
130.18E.TB,TUBO DO CARDAN 70.00x2.00,001557 CT,(70.00X2.00mm)Ө EXT=70.00mm/Ө INT=66.00mm/ESPESSURA=2.00mm,OPALA/CHEVETE/CARAVAN,,,
130.18F.TB,TUBO DO CARDAN 50.80x3.00,001553 CT,(50.80X3.00mm)Ө EXT=50.80mm/Ө INT=43.30mm/ESPESSURA=3.00mm,JEEP,,,
130.18G.TB,TUBO DO CARDAN 50.80x1.65,001552 CT,(50.80X1.65mm)Ө EXT=50.80mm/Ө,JEEP,,,
130.18Z.TB,TUBO DA COLUNA DE DIREÇÃO,000523 CT,(38.10X2.00mm)Ө EXT=38.10mm/Ө INT=36.10mm/ESPESSURA=2.00mm,COLUNAO DIRECAO DIVERSAS,,,
130.23.RCB,PONTUVA DO CARDAN,130.RCB,27 ESTRIAS/TIPO 2.40.2271/MEDIDA=155.00mm (DE CENTRO DA CRUZETA A FACE DA PONTEIRA),INDUSTRIAL/TDP SERIE 2000,27.00mm,,81.80mm
130.23.SPI,PONTUVA DO CARDAN,82.483,27 ESTRIAS/TIPO 2.40.2271/MEDIDA=155.00mm (DE CENTRO DA CRUZETA A FACE DA PONTEIRA),INDUSTRIAL/TDP SERIE 2000,27.00mm,,81.80mm
130.25.RCB,SUBCONJUNTO MANCAL CENTRAL,RCB,BORRACHA COM ROLAMENTO,OPALA/CHEVETE,,30.00mm,
130.25.SR,SUBCONJUNTO MANCAL CENTRAL,R214,BORRACHA COM ROLAMENTO,OPALA/CHEVETE,,30.00mm,
130.25A.SR,SUBCONJUNTO MANCAL CENTRAL,R247,BORRACHA COM ROLAMENTO,CHEVETE,,20.00mm,
130.25B.SR,SUBCONJUNTO MANCAL CENTRAL,R242,BORRACHA COM ROLAMENTO,CHEVETE,,21.50mm,
130.26.SR,BORRACHA DO ROLAMENTO,R241,COXIM DO MANCAL,OPALA/CHEVETE,,20.00mm,
130.27.RCB,MANCAL COMPLETO CARDAN,130.RCB,PROJETO SUPORTE REI,OMEGA,,30.00mm,
130.27.SR,MANCAL COMPLETO CARDAN,R563,PROJETO SUPORTE REI,OMEGA,,30.00mm,
130.33.KIT,PARAFUSO DO FLANGE COM PORCA,PA79467/PO3793,5/16X7/8''/KIT MONTADO/PASSO UNF 5/16''/AUTOTRAVANTE,OPALA/TDP SERIE 1000/2000,,,
130.33.PA,PARAFUSO DO FLANGE COM PORCA,500690,5/16X7/8''/KIT PRONTO/PASSO UNF 5/16''/AUTOTRAVANTE,OPALA/TDP SERIE 1000/2000,,,
130.33A.PA,PARAFUSO DO CARDAN COM PORCA,500440,5/16 X 7/8,OPALA,,,
130.33Y.FY,PARAFUSO PARA KIT 130.33.KIT,79467,,OPALA/TDP SERIE 1000/2000,,,
130.33Z.FY,PORCA PARA KIT 130.33.KIT,3793,,OPALA/TDP SERIE 1000/2000,,,
130.40.SB,RETENTOR DIFERENCIAL,2V5501249A / 01034774B,95 X 120 X 12/17 mm,MAN TGX 29.480,,,
130.41.LN,ENGRAXADEIRA RETA,94.037,8 mm,DIVERSAS LUVAS/CRUZETAS,,,
130.81.STH,EIXO CARDAN H,RCA119,10 ESTRIAS 1 LADO / 1 LADO 4 FUROS Ө 8.00mm/MACHO PILOTO Ө 57.00mm,FIAT ALLIS/AB.253.017/75210204,27.00mm,,61.90mm
130.T12.SPI,CARDAN COMPLETO,7421.0003X,COM 3 FLANGES 2.2.879 E LUVA ESTRIADA,FIAT ALLIS TRATOR/ BOMBA HIDRA,27.00mm,,61.90mm
130.T12A.SPI,CARDAN COMPLETO,7421.0001X,COM 3 FLANGES 2.2.879 E LUVA ESTRIADA,KOMATSU D50A,27.00mm,,61.90mm
130.T3.RAP,CARDAN COMPLETO,SK009,CONJUNTO COMPLETO 27 ESTRIAS/COMPRIMENTO 450mm face a face dos flanges,BOMBA DO VALTRA/BH 14/BH140HI,27.00mm,,61.90mm
130814500.ICT,EMBUCHAMENTO MANGA EIXO,130814500,Volvo VM 23.210 Temp.,Volvo VM270,,,
130816500.ICT,EMBUCHAMENTO MANGA EIXO,130816500,Emb Volvo Temp. 2004 Diante / Bucha Nylon,Volvo FH440/FH500/VM330,,,
131.10.CC,CRUZETA DO CARDAN,2694,TRAVA INTERNA/COM GRAXEIRO/4 COPINHOS,KIA/HR2.5,28.00mm,,48.02mm
131.10A.STH,CRUZETA DO CARDAN,CZ171,TRAVA INTERNA/COM GRAXEIRO/4 COPINHOS,BESTA MOTOR 2.2/ VAN TOPIC,26.50mm,,47.02mm
131304000.ICT,EMBUCHAMENTO MANGA EIXO,131304000,55 mm COM ROLAMENTO AGULHA,IVECO STRALIS / TECTOR,,,
132.10.CC,CRUZETA DO CARDAN MANCALIZADA,3204,4 MANCAIS FURO 8.50mm/Ө 79.20mm,GUINDASTE,33.30mm,,79.20mm
132.10.STH,CRUZETA DO CARDAN MANCALIZADA,CZ179,4 MANCAIS FURO 8.50mm/Ө 79.20mm,GUINDASTE,33.30mm,,79.20mm
133.10.CC,CRUZETA DO CARDAN,2668,COM GRAXEIRO LATERAL/TRAVA INTERNA,HILUX 3.0D,28.50mm,,49.20mm
133320000.ICT,EMBUCHAMENTO MANGA EIXO,133320000,1 Lado com bucha de bronze,MB ACELLO 715-915,,,
133370375.ICT,EMBUCHAMENTO MANGA EIXO,133370375,"36,75 mm com rolamento",MB 1313 a 2213,,,
133372001.ICT,EMBUCHAMENTO MANGA EIXO,133372001,"Com 2 Chimes e bucha 30,10 X 186,0 mm","MB 809, 812, 912, 914, 915, 71",,,
133372500.ICT,EMBUCHAMENTO MANGA EIXO,133372500,"Emb. C/ Chime MBB Ө 27,00 mm Temp.",MBB 709/710,,,
133375400.ICT,EMBUCHAMENTO MANGA EIXO,133375400,"Emb. MBB C/2 Chimes Ө 45,00 mm Temp.",MB 1113/1313/1614,,,
133375402.ICT,EMBUCHAMENTO MANGA EIXO,133375402,"Ө 45,20 mm Temp. C/ Chime",MB 1614/1714,,,
133375403.ICT,EMBUCHAMENTO MANGA EIXO,133375403,"Ө 45,30 mm Temp. C/ Chime",MB 1614/1714,,,
133375700.ICT,EMBUCHAMENTO MANGA EIXO,133375700,"Ө 38,00 mm Temp. C/ Chime FREIO AR",MB 1518/1618,,,
133375701.ICT,EMBUCHAMENTO MANGA EIXO,133375701,"Ө 38,00 mm Temp. C/ Chime",MB 1518/1618,,,
133375702.ICT,EMBUCHAMENTO MANGA EIXO,133375702,"Ө 38,20 mm Temp. C/ Chime FREIO AR",MB 1518/1618,,,
133377200.ICT,EMBUCHAMENTO MANGA EIXO,133377200,"Emb. C/ Chimes MBB Atego Ө 45,00 mm Temp.",MB Atego 1418/1420/1728,,,
133377201.ICT,EMBUCHAMENTO MANGA EIXO,133377201,"Emb. C/ Chimes MBB Atego Ө 45,10 mm Temp.",MB Atego 1418/1420/1728,,,
133377202.ICT,EMBUCHAMENTO MANGA EIXO,133377202,"Ө 45,20 mm Temp. C/ Chime",MB Atego 1418/1420/1728,,,
133377203.ICT,EMBUCHAMENTO MANGA EIXO,133377203,"Ө 45,30 mm Temp. C/ Chime",MB Atego 1418/1420/1728,,,
133378900.ICT,EMBUCHAMENTO MANGA EIXO,133378900,"Emb. MBB Axor C/ Rolam. Agulha IC Ө 50,00 mm Temp. S/ Tampa",MB Axor 2040/2540,,,
133379200.ICT,EMBUCHAMENTO MANGA EIXO,133379200,"Emb. MBB O-371 C/CHIME E BUCHA LATAO 50,00",MBB O-371,,,
133379300.ICT,EMBUCHAMENTO MANGA EIXO,133379300,"Emb. MBB 1924/41 Ө 51,00 mm 1LD Temp. C/ Chime",MB LS1634/1935,,,
134.10.ELB,CRUZETA DO CARDAN,4.080.110.015,ELBE 408/SEM GRAXEIRO/FURO COPINHO,SEMI EIXO NEWHOLLAND/JOHN DEER,28.50mm,,70.70mm
134.10.STH,CRUZETA DO CARDAN,CZ147,,"MF265 - TRAÇÃO APL335,",28.50mm,,70.50mm
134.11.STH,GARFO DUPLO USINADO,RGF709,MONTA COM CZ147,MF265 TRAÇÃO APL335/MASSEY/VAL,28.50mm,,70.50mm
134.12.ELB,LUVA DO CARDAN,1.093.500.246,22 ESTRIAS/ Ø 30.00mm INTERNO ENTRE ESTRIAS,,28.50mm,,70.70mm
134.12.STH,LUVA USINADA,RLV119,21 ESTRIAS MONTA COM CZ 147,AGCO MF5275/5285,28.50mm,,70.50mm
135.10.AEM,CRUZETA DO CARDAN,CC45,COM GRAXEIRO,TDP SERIE 1500,27.00mm,,70.00mm
135.10.CC,CRUZETA DO CARDAN,3032,COM GRAXEIRO,TDP SERIE 1500,27.00mm,,70.00mm
135.10.STH,CRUZETA DO CARDAN,CZ102,COM GRAXEIRO,TDP SERIE 1500,27.00mm,,70.00mm
135.10A.AEM,CRUZETA DO CARDAN,CC303.1,TRACAO DIANTEIRA/GRAXEIRO NO COPINHO,TRATOR JHON DREE,27.00mm,,70.00mm
135.10A.ALB,CRUZETA DO CARDAN,ALB5.5179,TRACAO DIANTEIRA/ SEM GRAXEIRO/C FURO NO COPINHO,TRATOR JHON DREE,27.00mm,,70.00mm
135.10A.CC,CRUZETA DO CARDAN,2947,TRACAO DIANTEIRA/GRAXEIRO NO COPINHO,TRATOR JHON DREE,27.00mm,,70.00mm
135.10A.STH,CRUZETA DO CARDAN,CZ117,TRACAO DIANTEIRA/GRAXEIRO NO COPINHO,TRATOR JHON DREE,27.00mm,,70.00mm
135.50A.AEM,TERMINAL CURTO FURO REDONDO,CC1519,Ө 25.40mm(1'')/CHAVETA 1/4''/ROSCA 3/8''UNC/MEDE 76.50mm,TDP SERIE 1500,27.00mm,,70.00mm
135.52.AEM,TERMINAL CURTO FURO QUADRADO,CC1512,□ 28.65mm/APLICA TUBO CC07,TDP SERIE 1500,27.00mm,,70.00mm
135.52A.AEM,TERMINAL CURTO FURO QUADRADO,CC1511,□ 22.20mm(7/8'')/APLICA BARRA CC08,TDP SERIE 1500,27.00mm,,70.00mm
135.52AB.AEM,TERMINAL CURTO FURO QUADRADO,CC1511C,□ 22.20mm(7/8'')/ C/ F TRANSVERSAL 08mm/APLICA BARRA CC08,TDP SERIE 1500,27.00mm,,70.00mm
135.52B.AEM,TERMINAL CURTO FURO QUADRADO,CC1512C,□ 28.65mm/APLICA TUBO CC07,TDP SERIE 1500,27.00mm,,70.00mm
135.62.AEM,TUBO TRIANGULAR FEMEA,6032/3000,Δ 43.50X36X3.30mm/MEDE 3000.00mm,,,,
135.62A.AEM,TUBO TRIANGULAR MACHO FEMEA,6025/3000,Δ 36.20X27X3.20mm/MEDE 3000.00mm,,,,
135.62B.AEM,TUBO TRIANGULAR MACHO FEMEA,6025/1000,Δ 36.20X27X3.20mm/MEDE 1000.00mm,,,,
135.62C.AEM,TUBO TRIANGULAR FEMEA,6032/1000,Δ 43.50X36X3.30mm/MEDE 1000.00mm,,,,
135.64.AEM,TERMINAL ENGATE RAPIDO,CC1510,6 ESTRIAS/Ө 1 3/8''(ENTRE ESTRIAS),TDP SERIE 1500,27.00mm,,70.00mm
135.64A.AEM,TERMINAL ENGATE RAPIDO,CC1510E,21 ESTRIAS/Ө 1 3/8''(ENTRE ESTRIAS),TDP SERIE 1500,27.00mm,,70.00mm
135.75.AEM,CAPA DE PROTECAO,P003,APLICA TDP SERIE 1500,TDP SERIE 1500,,,
136.10.LN,CRUZETA DO CARDAN,801127,TRAVA INTERNA/COM GRAXEIRO/4 COPINHOS,HYUNDAI H100 / HR,28.00mm,,53.00mm
136.10.NK,CRUZETA DO CARDAN,NUJ101,TRAVA INTERNA/COM GRAXEIRO/4 COPINHOS,HYUNDAI H100 / HR,28.00mm,,53.00mm
136.10A.STH,CRUZETA DO CARDAN,CZ224,TRAVA INTERNA,BONGO,"28,03",,"48,3"
1360.30.PA,PARAFUSO FIXAR BRACADEIRA FLANGEADO,500312,"12,00MM x50,00mm",SCANIA 94/113/114/124,,,
137.10.NK,CRUZETA DO CARDAN,,,,,,
140.10.AEM,CRUZETA DO CARDAN,CC103/1,COM GRAXEIRO,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.10.ALB,CRUZETA DO CARDAN,ALB5.178,COM GRAXEIRO,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.10.AMX,CRUZETA DO CARDAN,CT5178,COM GRAXEIRO,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.10.CC,CRUZETA DO CARDAN,2898,COM GRAXEIRO,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.10.DIST,CRUZETA DO CARDAN,CZ208,COM GRAXEIRO,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.10.NK,CRUZETA DO CARDAN,NUJ178,COM GRAXEIRO,TOYOTA BANDEIRA/TDP SERIE 2500,30.20mm,,92.00mm
140.10.RCB,CRUZETA DO CARDAN,140.RCB,COM GRAXEIRO,TOYOTA BANDEIRA/TDP SERIE 2500,30.20mm,,92.00mm
140.10.SPI,CRUZETA DO CARDAN,5.178XS,COM GRAXEIRO,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.10.STH,CRUZETA DO CARDAN,CZ208,COM GRAXEIRO,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.11..RCB,GARFO DO CARDAN,140.RCB,BASE DE SOLDA Ө 53.50mm,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.11.IN,GARFO DO CARDAN,6201,BASE DE SOLDA Ө 53.50mm,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.11.LN,GARFO DO CARDAN,41.401,BASE DE SOLDA Ө 53.50mm,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.11.RCB,GARFO DO CARDAN,140.RCB,BASE DE SOLDA Ө 53.50mm,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.11.SC,GARFO DO CARDAN,SG31,BASE DE SOLDA Ө 53.50mm,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.11.STH,GARFO DO CARDAN,RGF619,BASE DE SOLDA Ө 53.50mm,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.12.IN,LUVA DO CARDAN,6102.ZN,20 ESTRIAS,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.12.LN,LUVA DO CARDAN,41.938/501026,20 ESTRIAS,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.12.MDR,LUVA DO CARDAN,P01534,20 ESTRIAS,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.12.MEC,LUVA DO CARDAN,LV1550,20 ESTRIAS,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.12.PTR,LUVA DO CARDAN,8489,20 ESTRIAS,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.12.RCB,LUVA DO CARDAN,140.RCB,20 ESTRIAS,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.12.STH,LUVA DO CARDAN,RLV624,20 ESTRIAS,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.12A.IN,LUVA DO CARDAN,6101.ZN,16 ESTRIAS,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.12A.SC,LUVA DO CARDAN,SL25,16 ESTRIAS,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.12B.SC,LUVA DO CARDAN,SL51,16 ESTRIAS DIAMETRO DE 35m,S-10 2006 EM DIANTE,30.20mm,,92.00mm
140.14.IN,PONTEIRA DESLIZANTE,6302,20 ESTRIAS,TOYOTA BANDEIRANTES,,,
140.14.LN,PONTEIRA DESLIZANTE,501025,20 ESTRIAS,TOYOTA BANDEIRANTES,,,
140.14.MDR,PONTEIRA DESLIZANTE,P01535,20 ESTRIAS,TOYOTA BANDEIRANTES,,,
140.14.MEC,PONTEIRA DESLIZANTE,PT1530,20 ESTRIAS,TOYOTA BANDEIRANTES,,,
140.14.PTR,PONTEIRA DESLIZANTE,8490,20 ESTRIAS,TOYOTA BANDEIRANTES,,,
140.14.RCB,PONTEIRA DESLIZANTE,140.RCB,20 ESTRIAS,TOYOTA BANDEIRANTES,,,
140.14.STH,PONTEIRA DESLIZANTE,RPT627,20 ESTRIAS,TOYOTA BANDEIRANTES,,,
140.14A.IN,PONTEIRA DESLIZANTE,6301,16 ESTRIAS,TOYOTA BANDEIRANTES,,,
140.14A.LN,PONTEIRA DESLIZANTE,41.348,16 ESTRIAS,TOYOTA BANDEIRANTES,,,
140.15.LN,PONTEIRA FIXA,501043,BASE DE SOLDA  Ө 53.50mm,TOYOTA BANDEIRANTES,,30.00mm,
140.15.MEC,PONTEIRA FIXA,PT1535,BASE DE SOLDA  Ө 53.50mm,TOYOTA BANDEIRANTES,,30.00mm,
140.15.PTR,PONTEIRA FIXA,8050A,BASE DE SOLDA  Ө 53.50mm,TOYOTA BANDEIRANTES,,30.00mm,
140.15.RCB,PONTEIRA FIXA,140.RCB,BASE DE SOLDA  Ө 53.50mm,TOYOTA BANDEIRANTES,,30.00mm,
140.15A..RCB,KIT PONTEIRA FIXA E FLANGE DE ACOPLAMENTO,RCB140.15A,BASE DE SOLDA  Ө 53.50mm / FLANGE 4 FURO BASE 102MM,TOYOTA BANDEIRANTES,,30.00mm,
140.15A.RCB,KIT PONTEIRA FIXA E FLANGE DE ACOPLAMENTO,RCB140.15A,BASE DE SOLDA  Ө 53.50mm / FLANGE 4 FURO BASE 102MM,TOYOTA BANDEIRANTES,,30.00mm,
140.16.IN,FLANGE DE ORELHA,6001,4 FUROS Ө 7/16''/MACHO PILOTO Ө 70.00mm,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.16.LN,FLANGE DE ORELHA,41.245,4 FUROS Ө 7/16''/MACHO PILOTO Ө 70.00mm,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.16.RAP,FLANGE DE ORELHA,S197,FLANGE DE ARTICULACAO ENCAIXE FEMEA 04 FUROS/120mm,JOHN DEERE,30.20mm,,92.00mm
140.16.RCB,FLANGE DE ORELHA,140.RCB,4 FUROS Ө 7/16''/MACHO PILOTO Ө 70.00mm,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.16.SC,FLANGE DE ORELHA,SF41,4 FUROS Ө 7/16''/MACHO PILOTO Ө 70.00mm,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.16.SPI,FLANGE DE ORELHA,3.2.119,4 FUROS Ө 7/16''/MACHO PILOTO Ө 70.00mm,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
140.16A.IN,FLANGE DE ORELHA,6002,4 FUROS Ө 7/16''/MACHO PILOTO Ө 45.50mm,TOYOTA BANDEIR/TDP SERIE 2500,30.20mm,,92.00mm
